timestamp,metric,node,gpu,model_name,namespace,value
1788000000,gpu_util_pct,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,33
1788000000,tensor_active_fraction,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,0.18
1788000000,fb_used_mib,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,6983
1788000000,power_usage_w,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,45.9
1788000000,gpu_temp_c,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,41.7
1788000060,gpu_util_pct,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,24
1788000060,tensor_active_fraction,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,0.111
1788000060,fb_used_mib,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,5804
1788000060,power_usage_w,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,40.3
1788000060,gpu_temp_c,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,40.3
1788000120,gpu_util_pct,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,42
1788000120,tensor_active_fraction,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,0.332
1788000120,fb_used_mib,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,8912
1788000120,power_usage_w,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,52.5
1788000120,gpu_temp_c,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,46.5
1788000180,gpu_util_pct,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,28
1788000180,tensor_active_fraction,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,0.252
1788000180,fb_used_mib,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,7620
1788000180,power_usage_w,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,47.8
1788000180,gpu_temp_c,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,46.2
1788000240,gpu_util_pct,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,21
1788000240,tensor_active_fraction,downstream-gpu-worker-0,0,NVIDIA L4,suse-ai,0.164
