timestamp,model,provider,duration_seconds_sum_cumulative,request_count_cumulative
1788000000,glm-4.7-flash:q4_K_M,ollama,0.0000000,0
1788000060,glm-4.7-flash:q4_K_M,ollama,1.6499801,1
1788000120,glm-4.7-flash:q4_K_M,ollama,1.6499801,1
1788000180,glm-4.7-flash:q4_K_M,ollama,1.6499801,1
1788000240,glm-4.7-flash:q4_K_M,ollama,1.6499801,1
1788000300,glm-4.7-flash:q4_K_M,ollama,1.6499801,1
1788000360,glm-4.7-flash:q4_K_M,ollama,1.6499801,1
1788000420,glm-4.7-flash:q4_K_M,ollama,4.8799697,2
1788000480,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788000540,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788000600,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788000660,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788000720,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788000780,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788000840,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788000900,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788000960,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001020,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001080,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001140,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001200,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001260,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001320,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001380,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001440,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001500,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001560,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001620,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001680,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001740,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001800,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001860,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001920,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788001980,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002040,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002100,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002160,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002220,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002280,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002340,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002400,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002460,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002520,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002580,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002640,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002700,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002760,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002820,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002880,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788002940,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003000,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003060,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003120,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003180,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003240,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003300,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003360,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003420,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003480,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003540,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003600,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003660,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003720,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003780,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003840,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003900,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788003960,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788004020,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
1788004080,glm-4.7-flash:q4_K_M,ollama,7.6292807,3
